127.0.0.1 - - [08/Apr/2024:08:56:43 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [08/Apr/2024:08:56:44 +0900] "GET /pro01/ HTTP/1.1" 200 2814
0:0:0:0:0:0:0:1 - - [08/Apr/2024:08:56:44 +0900] "GET /pro01/js/jquery-3.2.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2024:08:56:44 +0900] "GET /pro01/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2024:08:56:44 +0900] "GET /pro01/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2024:08:56:44 +0900] "GET /pro01/images/favicon3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2024:08:56:48 +0900] "GET /pro01/NoticeList.do HTTP/1.1" 200 5661
0:0:0:0:0:0:0:1 - - [08/Apr/2024:08:56:50 +0900] "GET /pro01/GetNotice.do?no=6 HTTP/1.1" 200 3326
0:0:0:0:0:0:0:1 - - [08/Apr/2024:08:56:57 +0900] "GET /pro01/NoticeList.do HTTP/1.1" 200 5661
0:0:0:0:0:0:0:1 - - [08/Apr/2024:08:57:00 +0900] "GET /pro01 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Apr/2024:08:57:00 +0900] "GET /pro01/ HTTP/1.1" 200 2814
